Cod. Reg;Regione / Region;Cod. Prov.;Provincia / Province;Comune / Municipality;Cod. Istat;flag;Arrivi / Arrivals;;;;;;;;;;Presenze / Nights spent;;;;;;;;
;;;;;;;"Totale esercizi / 
Total accomm. establishments";;;"Esercizi alberghieri / 
Hotels and similar establishments";;;"Esercizi extra-alberghieri/ 
Other accomm. establishments";;;;"Totale esercizi / 
Total accomm. establishments";;;"Esercizi alberghieri / 
Hotels and similar establishments";;;"Esercizi extra-alberghieri/ 
Other accomm. establishments";;
;;;;;;;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals
 010 ;PIEMONTE;002;VERCELLI;Alagna Valsesia;002002;; 7.460 ; 7.157 ; 14.617 ; 1.476 ; 1.550 ; 3.026 ; 5.984 ; 5.607 ; 11.591 ;; 19.091 ; 22.581 ; 41.672 ; 4.198 ; 6.100 ; 10.298 ; 14.893 ; 16.481 ; 31.374 
 010 ;PIEMONTE;002;VERCELLI;Campertogno;002025;; 402 ; 257 ; 659 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 1.027 ; 1.347 ; 2.374 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;002;VERCELLI;Carisio;002032;; 9.140 ; 2.370 ; 11.510 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 16.920 ; 4.981 ; 21.901 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;002;VERCELLI;Cigliano;002042;; 999 ; 66 ; 1.065 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 3.405 ; 131 ; 3.536 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;002;VERCELLI;Cravagliana;002048;; 610 ; 122 ; 732 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 1.092 ; 349 ; 1.441 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;002;VERCELLI;Crescentino;002049;; 1.814 ; 348 ; 2.162 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 4.970 ; 1.116 ; 6.086 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;002;VERCELLI;Fobello;002057;; 1.223 ; 205 ; 1.428 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 5.397 ; 253 ; 5.650 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;002;VERCELLI;Quarona;002107;; 648 ; 413 ; 1.061 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 1.234 ; 754 ; 1.988 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;002;VERCELLI;Rimasco;002112;; 264 ; 2 ; 266 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 1.641 ; 2 ; 1.643 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;002;VERCELLI;Rimella;002113;; 153 ; 569 ; 722 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 229 ; 1.099 ; 1.328 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;002;VERCELLI;Riva Valdobbia;002114;; 8.871 ; 3.053 ; 11.924 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 29.378 ; 10.488 ; 39.866 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;002;VERCELLI;Santhià;002133;; 427 ; 51 ; 478 ; 246 ; 27 ; 273 ; 181 ; 24 ; 205 ;; 1.299 ; 80 ; 1.379 ; 834 ; 31 ; 865 ; 465 ; 49 ; 514 
